return,sharpe
-16.79282604850546,-1.293684606968814
-17.63184342159203,-1.9333005941863741
-20.756679297809733,-1.8622831478530193
0.635500561268687,0.058928012734841266
-15.81124378894485,-1.5834395287155636
-19.381666706240342,-1.6530057025911067
-16.677483899640443,-1.7634827234659576
-24.90499299176315,-2.552028080218199
-10.255274305425289,-1.0460734356233425
-29.650851401739565,-2.408594915909016
-19.163399039333594,-1.8025881596847855
-4.583489795436158,-0.4161640703212774
-22.616548978602612,-1.890223786985809
-9.683006192788978,-1.002523558528409
-5.336472135883719,-0.5327730513168257
-23.860396017563534,-2.0668236798409225
-16.302798141715126,-1.609467866808381
-11.059336449221945,-0.9801169289025938
-22.931922704549724,-2.0489728607628446
-10.611581876795274,-0.9928533436313186
-12.056561386528863,-1.0528280932523055
-12.11636798360306,-1.0562359429070538
-16.827526967914697,-1.292972831107945
-14.78722944555364,-1.1730068173097685
-1.0916156048000891,-0.10936845427454056
-25.901420165490897,-1.9806885916253392
-14.137540872881937,-1.4532630135634312
-22.399990934058422,-2.138623961242482
-10.624925247375394,-0.9807735551311869
-25.22077481213858,-2.586928691456697
-5.0060490954019095,-0.6111945981629755
-16.41802636236872,-1.3324088393055988
-13.222909477789557,-1.195174599003856
5.983993846058366,0.7763855853678356
-18.155382568427527,-1.7505459022724257
-13.574653040918527,-1.136211722127038
-18.252317592000733,-1.653542089614437
-20.112437622975776,-2.0741530065786433
-13.380403242323169,-1.2071897353377041
-17.588948401866343,-1.4567834222582572
-19.381304978655944,-1.5375242144051788
3.034228308754572,0.2800351838782293
-24.207894306891575,-2.0112818337472658
-17.722284378456532,-1.5716184110859628
-8.470309131211184,-0.835640568439582
-14.09395631410021,-1.2572652320578561
-15.624022356114187,-1.4647054562458022
-17.94735357343482,-1.6087302889762043
-3.486228056987395,-0.34189721809706597
-22.604743516914304,-1.9282109553491928
-12.360197802217298,-1.0953672261701402
-15.904645798623374,-1.4241037034426498
-3.610323023084794,-0.34832042272002905
-19.010265168668294,-1.7708902157662727
-27.025858446649842,-2.5047426445562775
-23.498952036971875,-2.2356665921346117
-5.576852075750183,-0.5540552822370104
-22.50085201486719,-1.8983364213491154
-20.153136594696097,-1.8654265208002399
-19.38388016895055,-1.855246024905423
-34.37823829913265,-3.1221151338525015
1.1933563137956904,0.11296862348583388
-11.681229669270332,-1.1707793802377864
-26.755372558140234,-2.8511139201836264
-13.464780791112984,-1.3516854178729325
-11.91388554114039,-1.2679230278664029
-3.5602071589223905,-0.33715133775380446
-16.046465577983295,-1.2685080477835213
-6.506222600732459,-0.6486321466959111
-13.398484930937137,-1.25094402637889
-7.905250429306621,-0.7068626968248065
2.2689787234692504,0.22773199083493992
-15.570667824126549,-1.6797563930612829
-0.6500124933953466,-0.07008825462445645
-12.391272201303282,-1.2177712183567133
-9.309400904554266,-0.8238525497143555
-18.537083353475058,-1.9553358570078212
-18.822394789907005,-1.4652211862213775
-14.413310009823743,-1.4152811873139084
-4.629992433046215,-0.4950812964637464
-22.52984479812915,-2.4906777355677
-19.086314084979904,-1.4365757022268588
-2.543848643341351,-0.27616626673267364
-18.574754070076093,-1.8782253626242988
-6.737091303647635,-0.6596828658854609
-8.434973115855604,-0.7828196553232774
-9.447945368529698,-0.9893939385075876
-18.03571863392278,-1.8810939751043865
-9.535860714363775,-1.1455457943020588
-27.112802879798604,-2.130303630296529
-13.538847866139603,-1.381943285194091
-10.485088252686204,-0.8886634616378813
-20.282467551816087,-1.964162021464066
-12.496024813132834,-1.2725215906292018
-3.595840727511457,-0.3324069228084187
-16.003726060927313,-1.4474508057391913
-23.458566729577658,-2.2679418662085387
-7.552327203305797,-0.6885800134560293
8.707980197285202,0.8510345094506866
-19.272213481326837,-1.8059376789840667
-15.7195170356644,-1.348943412411816
-31.410349188447018,-2.761631868008409
-25.31481041511906,-2.0240493305186495
-18.78206417274906,-1.587361774408721
-21.28422682191793,-1.686869253863521
-14.341618201763884,-1.3262282318231065
-16.164034370234127,-1.522943404633625
-9.7281622374625,-1.021599629878143
-16.10227695438845,-1.497944830211485
-13.809281873044398,-1.4176073295830085
-6.326870148444552,-0.5046047492818416
-13.11593538804866,-1.1147217968811878
-17.82202540033738,-1.4848500227821038
-20.33743154785158,-1.7617813033323542
-10.46211803554612,-1.0244741187430468
-2.553399127439193,-0.23047436956791537
13.069121068296763,1.4243660342237527
-2.920344987683199,-0.3034898954205553
-21.691339934382704,-2.165371032615579
-19.506894764993433,-1.587939341296319
-15.215973057103538,-1.2363176679020433
-2.837725171183403,-0.24958903740313007
-14.960758589111977,-1.362869837730266
-22.998981466903277,-2.1339460893202684
-11.7383909987402,-1.1818067720263754
-22.683224690780367,-2.155608979054689
-21.66308732883636,-2.034786540401949
-20.036147956347726,-1.7577826792749238
-28.17881326321303,-2.3119768974139943
-18.68157975586312,-1.6840875016078272
-6.8203391088257685,-0.7278549617435872
-23.174645594214184,-2.132152948322186
-20.779019204781623,-1.9304467255160571
-4.994732562582271,-0.45290956606282096
3.0619990853070433,0.2837733217164517
-20.942124143304564,-1.9393536186193794
-17.137160609274638,-1.4942783620130826
-18.981938550178022,-1.6086640616372418
-18.56529424136638,-1.7883886911533207
-8.297332905181909,-0.8149400486068672
-22.304365693375473,-2.095924666547333
-19.603109221236515,-2.1838683551467097
-23.90138483014823,-2.036930988685305
-15.18161563328293,-1.3587353155213846
-11.209314359369138,-1.297810040071133
-9.636718714308435,-0.9490333059048159
-23.781763311400105,-1.8593609170068708
-10.29053590263922,-1.087357330166494
-15.901796767020793,-1.4879106555123696
-15.720094596261491,-1.5708091554804353
-27.12280820944345,-2.421664887835858
-20.037356207889157,-1.6871407426498757
1.0138342650962473,0.10576838494244947
-22.352007902845006,-1.9285304510004249
-10.330580600737981,-0.8825215037782237
-11.514338803155265,-1.0105794693659345
-4.3665658774180045,-0.40634748047075686
-16.391557236715173,-1.4320720908067694
-24.155064647612214,-2.137677720307954
-14.130376360489405,-1.1800766579709236
-20.022675763357924,-2.050354891387096
-22.10424253930121,-2.0539192720595536
-19.382715864204847,-2.479325676587949
-13.930249341814239,-1.369061557832152
-20.06106341240833,-1.991909564755268
-13.510701922956414,-1.2514296143204742
-5.907905475545416,-0.5336410079786656
-5.644493625838942,-0.5650636350683783
-17.36137351261302,-1.7646740237107625
-27.367254955620655,-2.339691804414722
-7.606199492414167,-0.756665742527918
-13.271554400943476,-1.1641461015905927
-15.27635142733359,-1.5013865385820513
-27.86498194892704,-2.3922981053619314
-12.865396202896651,-1.2645580155409455
-25.80728246926185,-2.1368230907655263
-18.30474392786644,-1.589427072151789
-16.59007343680492,-1.4649245066235175
-27.931332066613813,-2.5524979793313762
-10.81641465953539,-1.0134780689174907
-13.556525045911327,-1.220650402008393
6.077013696948552,0.5513478290076858
-16.80759566062161,-1.7404991722332612
1.7153266869302852,0.1543185179651305
-3.0858539510580707,-0.2897382095096563
-13.54522833522569,-1.4149130993657266
-5.032310883397861,-0.4913149593017947
-3.293629798225395,-0.30537032718777724
-29.99411519481732,-2.394585916894146
-4.695919258268432,-0.5096069947963622
-12.765993806411124,-1.0757110035905146
-23.300289252427586,-2.1802336362530563
-18.570910482890934,-1.8728319839376943
-10.81533353059424,-1.2059824936595966
-21.216325952157312,-1.7146090220842607
-21.83458376015962,-1.7925816737820288
-9.380066970157364,-0.9269935324281531
-11.192094144700004,-1.0987907163586674
-6.594091522825918,-0.5165447544851305
-23.790991171229827,-2.1645663600920138
-7.2440714218562245,-0.7709421642829134
-17.37260080200056,-1.93228108145226
-23.263359905441472,-1.9996829971135843
-4.620318727292972,-0.44060393355446703
-5.949459634305976,-0.5940469299217674
-13.432699237364098,-1.2669068762040232
-10.24710173019896,-0.9834088440049226
-6.665119021939924,-0.6783562315659649
-9.540890867606588,-0.9861748623139062
-6.6532748058632745,-0.6253788353961681
-14.07387440990917,-1.3114897808581871
-9.528988572396669,-0.8460207201552629
-18.431544082611527,-1.5333035953202288
-0.8134522013239387,-0.0881016507317256
6.386737865344361,0.7296825812810743
-8.95894462861422,-0.8232787820462459
-12.127082367396358,-1.0899880783591687
-8.767449973029795,-0.6612398215910338
-6.6274752993121355,-0.6410138511329838
-4.225818733170228,-0.429188009218747
-28.127317044191702,-2.5115764046320774
-10.10266979068163,-1.0777133708293718
-10.60388355469758,-1.0208459649515806
-31.8024783098518,-2.634812432048431
-5.522213350971361,-0.5259181675371581
-20.50982329216825,-1.8551458073447311
-19.661307407150563,-1.8591935087802536
-12.172088617211053,-1.1191923665974557
-11.03948557339991,-1.118579027315542
-4.6114384238182815,-0.41612650927069517
-10.910684009990169,-0.9136886512165172
-20.359991036164317,-1.710443444784341
-5.979031810896373,-0.5289392642264656
2.276356282569325,0.22025935898402135
-22.53335120345268,-2.0510649015555913
-26.558004776118025,-2.471223308537126
1.0970816453973242,0.12846193953520743
-21.408217114750784,-2.037658762505879
-5.585774099580387,-0.49265493622427914
-17.949961173439867,-1.411086211512537
-21.288323006261866,-2.1341119523496777
-16.86804149817004,-1.6192800847977735
-1.9849660602521912,-0.19505089068491852
-23.154276898926117,-2.1056955662320487
-17.856448380037737,-1.8554727702158125
-9.796855378706248,-0.8317370781792031
-19.77362275402623,-1.7731326960430724
6.176498858772073,0.5889357936859908
-7.660955172893402,-0.7672280187064653
-22.50572914965767,-1.947082006218459
-7.21804418244224,-0.5666875418563495
-7.058774630634068,-0.7088762205397691
-17.9170867383167,-1.9486995200244641
-10.227159996449565,-0.8584195481620717
-22.104220180173805,-1.8890520369653183
-28.99335903219329,-2.9838571477384415
-4.395476356566319,-0.5454849020554478
-10.53414283918701,-1.2708293103039165
-19.589198202287516,-1.7246424097434767
-22.266074941763105,-1.721459808413586
-1.3516863328220552,-0.14256853518820284
-14.302656538277269,-1.3150438257588124
-15.476556018470045,-1.392683002284848
-19.508768517651852,-1.717635334666229
-13.570812965514623,-1.3451878696346773
-5.093406150939151,-0.6211734874137048
-9.953649325505488,-0.9080463790823672
-5.245111575106454,-0.5109775010417082
-31.689647288300915,-2.8031509041019556
-10.622561524154461,-0.9919362333946611
-8.265206021524174,-1.0131344819130101
0.4358721775419294,0.0462185282906209
7.811212411825119,0.8345449197247339
-24.733061320652926,-2.082633865959797
-20.81725235683285,-1.8739637451596034
-14.4208595582199,-1.2248582999192985
-26.080793873225282,-2.194344649634143
5.626620653738068,0.4945155222989584
-33.1232658684884,-2.899070668760755
-21.827806750667456,-1.870178732715504
-15.141896665869936,-1.3669581443881886
-18.011536983424804,-1.46070664978607
-15.144243283866931,-1.3406723680100165
-29.62552367592589,-2.321450918278997
-10.298800823312671,-0.8916704891964569
-8.101683181325036,-0.6729164669258569
-32.16525657132478,-2.5882494146208104
-13.21700555395725,-1.135414792811531
-31.959342983968753,-2.7894908204157893
-12.258133964109208,-1.3070672503752518
-24.922463598573163,-2.400349276865743
-11.215272541090682,-0.9303547023759619
-14.91620767151841,-1.7356791159219085
-25.73125490188267,-2.23515251926676
-14.76581105452075,-1.301411308367304
-13.066341369685352,-1.2713832021229265
1.2100434959468886,0.12807724866432385
-17.506561310803605,-1.5845896289429886
-14.518218350116918,-1.1866620844673135
-14.484298565686093,-1.1020720533455877
-6.764179565059236,-0.6320523050455158
-10.684475219195278,-0.8599057815473803
-15.127598113206675,-1.339230485637085
-15.553910542635641,-1.2830859477188947
-7.096482899785828,-0.6918711324257499
-16.46894069423127,-1.5317477810912572
-23.714706984235512,-1.843672077229905
-10.954859934337758,-0.9260366931757948
-21.031362821966137,-1.9968011504785446
-8.218144863867638,-0.8792080237797066
-24.129206157544537,-2.2097220724070605
-16.32494209680487,-1.4586459841358914
-16.71497507613504,-1.8412724276550867
-30.827240606827388,-2.742140142068022
-2.6306096933592427,-0.27274935366971675
